# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  1 05:52:15 2023
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN imdist:         Distance [pc]
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN image:          Stellar Age [My]
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
rowid,plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag,imstype,immass,image,imlum,implmass,implstype,impltemp,implradius,immodel,immodeldef,imnotes
11,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.267000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,14,17.3,7,L6&plusmn;1,1500,1.500000000000e+00,"COND03, Baraffe et al. (2003)",1,
12,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.267000000000e+01,1.001000000000e+01,,0.830,92.5,,150.0,111.4,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,1.678000000000e+01,,A2V,1.96,10,17.3,,L6&plusmn;1,,,Bressan et al. (2012),0,Different stellar age based on Bressan et al. (2012)
13,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,,,1.001000000000e+01,,0.829,92.3,,150.1,111.4,VLT:Melipal,SPHERE,2017-02-09,LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,,,1.678000000000e+01,,A2V,1.96,14,17.3,9,L6&plusmn;1,1450,1.500000000000e+00,,0,"Here, planet K mag. is in K1. Other filters are listed in the reference paper."
14,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,1.267000000000e+01,,,0.828,92.2,,150.1,111.4,VLT:Melipal,SPHERE,2017-02-07,LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,1.949000000000e+01,17.99,,,A2V,1.96,14,17.3,9,L6&plusmn;1,1450,1.500000000000e+00,,0,"Here, planet J mag. is in J2MASS and planet H mag. is in H2. Other filters are listed in the reference paper."
15,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,,,,,0.830,92.5,,150.1,111.4,VLT:Melipal,SPHERE,2016-06-26,LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,,,,,A2V,1.96,14,17.3,9,L6&plusmn;1,1450,1.500000000000e+00,,0,
16,HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,,,,,0.830,92.5,,150.3,111.4,VLT:Melipal,SPHERE,2016-05-30,LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,6.85,6.77,,,,,,A2V,1.96,14,17.3,9,L6&plusmn;1,1450,1.500000000000e+00,,0,
17,USco CTIO 108 b,16:05:54.07,241.4753200,-18:18:44.4,-18.31233200,2.91,3.110000000000e+00,2.600000000000e+00,,4.600,670.0,,,145.0,TNG,NICS,2007-07-16,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L.185B/abstract target=ref>Bejar et al. 2008</a>,1,0,0,1,354.46977,24.5388974,13.42,12.84,12.51,,1.653000000000e+01,15.75,1.511000000000e+01,,M7,0.06,6,,14,M9.5,2350,,"Baraffe et al. (2003), Burrows et al. (1997)",1,
18,2MASS J01225093-2439505 b,01:22:50.94,20.7122430,-24:39:50.7,-24.66404900,,,4.820000000000e+00,,1.444,52.0,,216.7,36.0,Subaru,IRCS,2012-10-12,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,,,9.17,,,,1.453000000000e+01,,M3.5V,0.40,120,,25,L5,,,"Burrows et al. (2001), Spiegel et al. (2011)",0,"The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
19,2MASS J01225093-2439505 b,01:22:50.94,20.7122430,-24:39:50.7,-24.66404900,6.18,5.800000000000e+00,5.360000000000e+00,,1.450,52.0,,216.6,36.0,Keck:II,NIRC2,2013-01-18,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,10.02,9.47,9.17,,1.681000000000e+01,15.65,1.453000000000e+01,,M3.5V,0.40,120,,25,L5,,,"Burrows et al. (2001), Spiegel et al. (2011)",1,"The H-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
20,2MASS J01225093-2439505 b,01:22:50.94,20.7122430,-24:39:50.7,-24.66404900,,,,4.190000000000e+00,1.452,52.0,,216.6,36.0,Keck:II,NIRC2,2013-01-19,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,,,,9.00,,,,1.320000000000e+01,M3.5V,0.40,120,,25,L5,,,"Burrows et al. (2001), Spiegel et al. (2011)",0,"The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
21,2MASS J01225093-2439505 b,01:22:50.94,20.7122430,-24:39:50.7,-24.66404900,,5.350000000000e+00,6.790000000000e+00,,1.448,52.0,,216.5,36.0,Keck:II,NIRC2,2013-06-30,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,10.02,,9.17,,1.681000000000e+01,,1.453000000000e+01,,M3.5V,0.40,120,,25,L5,,,"Burrows et al. (2001), Spiegel et al. (2011)",0,"The K-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
22,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,,,7.300000000000e+00,,3.692,,,135.8,63.0,Keck:II,NIRC2,2014-11-08,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,,,,,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",0,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
23,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,,,8.220000000000e+00,,3.694,,,135.7,63.0,Keck:II,NIRC2,2015-08-27,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,,,,,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",0,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
24,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,9.80,,8.200000000000e+00,,3.696,,,135.3,63.0,Keck:II,NIRC2,2016-06-27,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,9.39,9.15,,,18.58,1.735000000000e+01,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",1,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
25,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,9.00,,,,3.707,,,135.4,63.0,Keck:II,NIRC2,2016-07-18,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,,,,,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",0,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
26,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,,1.040000000000e+01,,,3.705,,,135.7,63.0,Keck:II,NIRC2,2016-07-19,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,,,,,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",0,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
27,2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,,9.930000000000e+00,,,3.690,,,135.4,63.0,Keck:II,NIRC2,2016-08-03,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,9.97,,,,1.997000000000e+01,,,,K7,0.60,120,,12,late L,,,"Baraffe et al. (2003), Chabrier et al. (2000)",0,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
28,Ross 458 c,13:00:41.94,195.1940920,+12:21:14.7,12.37572380,,,,,102.000,1100.0,,,11.7,Magellan:Baade,FIRE,2010-04-03,,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref>Burgasser et al. 2010</a>,0,0,0,2,311.82538,75.0859590,,,,,,,,,M7.5 Ve,,475,,9,T8,760,1.250000000000e-01,"cloudless, Saumon and Marley (2008)",1,"Spectra were obtained, not broadband images."
29,kap And b,23:40:24.51,355.1021120,+44:20:02.2,44.33393100,10.64,,,,1.070,56.0,,55.7,52.0,Subaru,HiCIAO,2012-01-01,Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,1,0,1,109.76586,-16.7143327,,4.60,,,,15.20,,,B9 IV,2.45,30,,13,L5,1680,,Chabrier et al. (2000),0,
30,kap And b,23:40:24.51,355.1021120,+44:20:02.2,44.33393100,10.64,1.160000000000e+01,1.000000000000e+01,,1.058,55.0,,56.0,52.0,Subaru,HiCIAO,"2012-07-08, 2012-07-09",Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,1,0,1,109.76586,-16.7143327,4.60,4.60,4.60,,1.630000000000e+01,15.20,1.460000000000e+01,,B9 IV,2.45,30,,13,L5,1680,,Chabrier et al. (2000),1,
31,kap And b,23:40:24.51,355.1021120,+44:20:02.2,44.33393100,,,,,,,,,52.0,Subaru,IRCS,2012-07-28,Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,0,0,1,109.76586,-16.7143327,,,,,,,,1.312000000000e+01,B9 IV,2.45,30,,13,L5,1680,,Chabrier et al. (2000),0,
32,GSC 06214-00210 b,16:21:54.67,245.4777800,-20:43:09.13,-20.71920200,,,5.740000000000e+00,,2.203,319.0,,176.0,145.0,Keck:II,NIRC2,2008-06-17,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,9.15,,,,1.489000000000e+01,,M1,0.60,5,,14,,,,"DUSTY, Chabrier et al. (2000)",0,
33,GSC 06214-00210 b,16:21:54.67,245.4777800,-20:43:09.13,-20.71920200,,6.300000000000e+00,5.780000000000e+00,,2.205,147.0,,176.0,145.0,Keck:II,NIRC2,2007-06-06,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,9.15,,,,1.493000000000e+01,,M1,0.60,5,,14,,,,"DUSTY, Chabrier et al. (2000)",0,Different PA and separations are listed for Kp and J observaitons taken on the same night. Here we list the Kp values.
34,GSC 06214-00210 b,16:21:54.67,245.4777800,-20:43:09.13,-20.71920200,,,5.880000000000e+00,,2.204,147.0,,175.9,145.0,Keck:II,NIRC2,2009-05-31,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,9.15,,,,1.503000000000e+01,,M1,0.60,5,,14,,,,"DUSTY, Chabrier et al. (2000)",0,
35,GSC 06214-00210 b,16:21:54.67,245.4777800,-20:43:09.13,-20.71920200,6.21,,5.730000000000e+00,4.750000000000e+00,2.206,147.0,,175.9,145.0,Keck II,NIRC2,2010-04-26,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,9.15,,,,1.488000000000e+01,,M1,0.60,5,,14,,,,"DUSTY, Chabrier et al. (2000)",1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.
36,HIP 79098 AB b,16:08:43.72,242.1821750,-23:41:07.5,-23.68541530,,,,,2.357,344.8,,116.6,146.3,ESO:3.6m,ADONIS,2000-05-26,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,1,0,2,350.73403,20.3683332,,,,,,,,,B9,3.75,10,,20,,2450,,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",0,
37,HIP 79098 AB b,16:08:43.72,242.1821750,-23:41:07.5,-23.68541530,,,,,2.370,346.7,,116.5,146.3,VLT:Yepun,NACO,2004-06-09,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,0,0,2,350.73403,20.3683332,,,,,1.583000000000e+01,14.90,1.415000000000e+01,,B9,3.75,10,,20,,2450,,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",1,
38,HIP 79098 AB b,16:08:43.72,242.1821750,-23:41:07.5,-23.68541530,,,,,2.359,345.1,,116.1,146.3,VLT:Melipal,SPHERE,2015-07-20,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,0,0,2,350.73403,20.3683332,,,,,,,1.407000000000e+01,,B9,3.75,10,,20,,2450,,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",0,K1 and K2 bands are both listed for SPHERE data. Here we present the K1 photometry.
39,SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,8.679,1100.0,,,125.0,HST,NICMOS,1998-06-26,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,15.21,,,,,2,,14,M9.0,,,This work,0,H mag is actually m160 on NICMOS.
40,SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,8.693,1100.0,,,125.0,Gemini:Gillett,QUIRC+Hokupa'a,2001-06-23,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,,,,,,2,,14,M9.0,,,This work,0,
